fiscal_year,district,local_admin_org,waste_amount,unit
2566,ดอนตูม,อบต.ห้วยด้วน,0.0,ตันต่อปี
2566,ดอนตูม,อบต.ห้วยพระ,15.0,ตันต่อปี
2566,บางเลน,เทศบาลตำบลบางเลน,346.0,ตันต่อปี
2566,บางเลน,เทศบาลตำบลบางหลวง,10.0,ตันต่อปี
2566,บางเลน,เทศบาลตำบลรางกระทุ่ม,68.0,ตันต่อปี
2566,บางเลน,เทศบาลตำบลลำพญา,38.0,ตันต่อปี
2566,บางเลน,อบต.คลองนกกระทุง,22.5,ตันต่อปี
2566,บางเลน,อบต.ดอนตูม,7.0,ตันต่อปี
2566,บางเลน,อบต.ไทรงาม,98.0,ตันต่อปี
2566,บางเลน,อบต.นราภิรมย์,69.8,ตันต่อปี
2566,บางเลน,อบต.นิลเพชร,112.0,ตันต่อปี
2566,บางเลน,อบต.บัวปากท่า,0.0,ตันต่อปี
2566,บางเลน,อบต.บางไทรป่า,10.0,ตันต่อปี
2566,บางเลน,อบต.บางปลา,6.2,ตันต่อปี
2566,บางเลน,อบต.บางภาษี,19.0,ตันต่อปี
2566,บางเลน,อบต.บางระกำ,12.0,ตันต่อปี
2566,บางเลน,อบต.บางเลน,1.45,ตันต่อปี
2566,บางเลน,อบต.บางหลวง,12.1,ตันต่อปี
2566,บางเลน,อบต.ไผ่หูช้าง,14.0,ตันต่อปี
2566,บางเลน,อบต.ลำพญา,16.0,ตันต่อปี
2566,บางเลน,อบต.หินมูล,43.0,ตันต่อปี
2566,สามพราน,เทศบาลเมืองกระทุ่มล้ม,492.0,ตันต่อปี
2566,สามพราน,เทศบาลเมืองไร่ขิง,283.7,ตันต่อปี
2566,สามพราน,เทศบาลเมืองสามพราน,297.0,ตันต่อปี
2566,สามพราน,เทศบาลตำบลบางกระทึก,31.0,ตันต่อปี
2566,สามพราน,เทศบาลตำบลอ้อมใหญ่,135.6,ตันต่อปี
2566,สามพราน,อบต.คลองจินดา,0.0,ตันต่อปี
2566,สามพราน,อบต.คลองใหม่,35.0,ตันต่อปี
2566,สามพราน,อบต.ตลาดจินดา,152.0,ตันต่อปี
2566,สามพราน,อบต.ทรงคนอง,93.4,ตันต่อปี
2566,สามพราน,อบต.ท่าข้าม,20.0,ตันต่อปี
