fiscal_year,district,local_admin_org,waste_amount,unit
2565,ดอนตูม,องค์การบริหารส่วนตำบลดอนพุทรา,30.0,ตันต่อปี
2565,ดอนตูม,องค์การบริหารส่วนตำบลดอนรวก,477.0,ตันต่อปี
2565,ดอนตูม,องค์การบริหารส่วนตำบลบ้านหลวง,10.0,ตันต่อปี
2565,ดอนตูม,องค์การบริหารส่วนตำบลลำเหย,10.0,ตันต่อปี
2565,ดอนตูม,องค์การบริหารส่วนตำบลห้วยด้วน,10.0,ตันต่อปี
2565,ดอนตูม,องค์การบริหารส่วนตำบลห้วยพระ,0.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลบางเลน,75.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลบางหลวง,3.0,ตันต่อปี
2565,บางเลน,เทศบาลตำบลรางกระทุ่ม,144.2,ตันต่อปี
2565,บางเลน,เทศบาลตำบลลำพญา,100.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลคลองนกกระทุง,6.5,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลดอนตูม,6.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลไทรงาม,3.2,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลนราภิรมย์,70.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลนิลเพชร,20.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบัวปากท่า,0.1,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางไทรป่า,5.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางปลา,5.5,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางภาษี,30.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางระกำ,0.27,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางเลน,2.45,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลบางหลวง,10.9,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลไผ่หูช้าง,10.0,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลลำพญา,7.5,ตันต่อปี
2565,บางเลน,องค์การบริหารส่วนตำบลหินมูล,114.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองกระทุ่มล้ม,140.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองไร่ขิง,287.0,ตันต่อปี
2565,สามพราน,เทศบาลเมืองสามพราน,19.7,ตันต่อปี
2565,สามพราน,เทศบาลตำบลบางกระทึก,26.0,ตันต่อปี
